Complexity,Loss,Equation
1,72.15893408339514,"k = 0.5463349343139148"
3,62.05088805294262,"k = #3 + 0.5170952619367702"
5,34.28668678393325,"k = #1 / (#1 + 0.021670743911421833)"
7,29.852038162140342,"k = #4 + (#1 / (#1 + 0.02282359812424708))"
9,27.200571432245752,"k = (#1 + (#3 * #4)) / (#1 + 0.022879151612485372)"
11,26.016019852652498,"k = (((#3 * #4) + #1) / (#1 + 0.02154722478193518)) - #2"
13,24.88859501515046,"k = (((#4 * #3) + (#1 * 0.8825033683360397)) / (#1 + 0.01599831026541507)) - #2"
15,24.153965428507693,"k = ((#4 * #3) + (((#2 * -3.293023045179668) - -0.9010753551020911) * #1)) / (#1 + 0.015690094441092546)"
17,22.89827007309009,"k = (((#2 * #2) * 121.72104325449966) - (((#4 * #3) + #1) / (#1 + 0.015969504540907863))) * -0.910439853551393"
19,21.876273400919597,"k = ((#2 * ((#2 * 220.63715257314132) + -2.8525635461665537)) - (((#4 * #3) + #1) / (#1 + 0.01826208561255769))) * -0.9378505950079812"
21,21.496110421205447,"k = ((((#2 * #2) * 328.28553108715533) - (((#4 * #3) + #1) / (#1 + 0.020480233297811297))) * -0.9619421420665274) + (#2 * 5.570396596316101)"
23,20.718706179937353,"k = (((#1 + #2) * -18.207941618629068) - -2.3051326324648356) * (#3 + ((#4 + (#1 * 9.606307210841516)) + (#2 / ((#3 + #2) * 6.42340535963072))))"
25,19.86428151697968,"k = (((#2 + #1) * -20.420994999869304) - (#3 + -2.6730181899757355)) * ((((#1 * 8.15329307272146) + #4) + (#2 / ((#2 + #3) * 7.694369817690443))) + #3)"
27,19.394978223965694,"k = ((((#1 + #2) * -23.67439594697877) - -3.2649438334820413) - (#3 / 0.3458935034201889)) * ((((#1 * 6.466097420936702) + #4) + #3) + (#2 / ((#2 + #3) * 9.773302930385492)))"
29,17.91574421344525,"k = (#3 + ((#2 / (#3 + (#2 * 17.74758772865742))) + ((#1 * 6.7872137229301) + #4))) * ((((#2 + #1) * -21.236379580186128) - -3.590544894231258) - (#3 / (#3 + 0.012855384447692852)))"
